created_at,img_name,language,like_count,quote_count,referenced_tweets,retweet_count,text,tweet_id,Negative,Neutral,Positive,text_sent
2019-07-22T12:38:24.000Z,id_1153283149360762880_2019-07-22.jpg,en,82582,3918,<NA>,50280,"the UN released a 740 page report compiled over six years by 250 scientists from 70 nations that basically states that unless drastic measures are taken to combat climate change, we are looking at mass extinction by 2050. At this point I don\xe2\x80\x99t know if having kids is even ethical https://t.co/CsdTSpfRPv",1153283149360762880,0.702820360660553,0.273528516292572,0.02365110069513321,Negative
2019-08-20T09:28:39.000Z,id_1163744643600637952_2019-08-20.jpg,en,69820,2456,<NA>,51781,"The Amazon Rainforest, one of the wettest places on Earth, is on fire.  Siberia, one of the coldest places on Earth, is on fire.That aint normal. Climate change is for real and our planet is burning up. Humans are the cause of this deadly fever.#PrayforAmazonia https://t.co/D6VCTaCNXt",1163744643600637952,0.9363774061203003,0.057425130158662796,0.00619756942614913,Negative
2019-04-28T18:51:22.000Z,id_1122574040936452097_2019-04-28.jpg,en,69235,87,<NA>,11051,just learned about climate change https://t.co/OlmKwz2bOn,1122574040936452097,0.19437657296657562,0.7511990666389465,0.054424311965703964,Neutral
2019-10-28T13:10:13.000Z,id_1188805167958974465_2019-10-28.jpg,en,65465,70,<NA>,6124,Climate change caused this. https://t.co/JG2LyeX8Tx,1188805167958974465,0.6548343300819397,0.32214754819869995,0.023018067702651024,Negative
2019-03-19T16:30:00.000Z,id_1108042949449969666_2019-03-19.jpg,en,62852,976,<NA>,9145,#GreenNewDeal haters\xe2\x80\x99 plan to address Climate Change: https://t.co/ahuDXnxcDG,1108042949449969666,0.6464123129844666,0.32203274965286255,0.03155497461557388,Negative
2019-04-15T15:16:46.000Z,id_1117808992972148743_2019-04-15.jpg,en,59492,591,<NA>,18518,"Jon Snow, a tired millennial, dealing with wild political instability, accelerating climate change, and all the bullshit that his parents\xe2\x80\x99 generation created and refused to deal with responsibly. #GameofThrones https://t.co/icETZh6oPH",1117808992972148743,0.8720757961273193,0.11687249690294266,0.011051703244447708,Negative
2019-08-19T07:59:00.000Z,id_1163359697845571585_2019-08-19.jpg,en,40124,2423,<NA>,19834,Iceland just held a funeral for its first ever glacier lost to climate change. https://t.co/VmuXbLH0pV https://t.co/CCdASlreMo,1163359697845571585,0.7104077935218811,0.27364033460617065,0.015951966866850853,Negative
2019-05-19T19:48:29.000Z,id_1130198558324527109_2019-05-19.jpg,en,38154,79,<NA>,8978,My TL going from James Charles to abortion laws to climate change and pollution to dog videos https://t.co/zjKNhYN5BA,1130198558324527109,0.6409215927124023,0.33483803272247314,0.024240385740995407,Negative
2019-08-20T13:49:08.000Z,id_1163810197778903040_2019-08-20.jpg,en,37808,2093,<NA>,35367,"b""The Amazon rainforest has been burning for 3 weeks! We are on the verge of losing it completely if the fire isn't put out. The loss of trees, the loss of biodiversity is what is accelerating CLIMATE CHANGE. THIS IS AN INTERNATIONAL EMERGENCY. This is a CRISIS.#SaveTheAmazon https://t.co/EDx1bub5AZ""",1163810197778903040,0.9213394522666931,0.07140754163265228,0.007253038696944714,Negative
2019-03-10T13:34:56.000Z,id_1104737401602228225_2019-03-10.jpg,en,37524,344,<NA>,7022,"b""From nurseries to full forest areas, the success of Billion Tree Tsunami has been unprecedented with public & pvt involvement. Has given us confidence to take the initiative to 10 bn trees. KP's forest cover has increased by 4%, contributing to the fight against climate change https://t.co/xFqJpwUq0u""",1104737401602228225,0.002951051341369748,0.09986867755651474,0.8971803188323975,Positive
